Mooring,Array,Serial number,Success
X07p,Asilomar,77810,yes
X08p,Asilomar,77818,yes
X09p,Asilomar,77814,yes
X10p,Asilomar,77807,yes
X12p,Asilomar,77815,yes
X14p,Asilomar,77816,yes
A02p,China Rock,77589,yes
A04p,China Rock,77590,yes
A05p,China Rock,77817,yes
A06p,China Rock,77587,yes
A07p,China Rock,77848,yes
A08p,China Rock,77802,no
A09p,China Rock,77591,yes
B04apt,China Rock,124020,yes
B06apt,China Rock,124022,yes
B07ap,China Rock,124073,yes
B09p,China Rock,77845,yes
B12p,China Rock,77813,yes
B14p,China Rock,77808,yes
B16p,China Rock,77586,yes
B18p,China Rock,77272,yes
C02p,China Rock,77594,yes
C03ap,China Rock,124039,yes
C04p,China Rock,77822,no
C05p,China Rock,77595,yes
C06p,China Rock,77809,yes
C07p,China Rock,77819,yes
C08p,China Rock,77804,yes
C09p,China Rock,77274,yes
D01ap,China Rock,124015,yes
D02ap,China Rock,124017,yes
