Mooring,Planned latitude,Planned longitude,Deployed latitude,Deployed longitude,Instrument,Date of deployed GPS shot,Accurate GPS,Notes
X01s,36.627036,-121.949175,36.62698,-121.94907,spotter,wholedeployment,yes,Computed from Spotter GPS
X02t,36.626703,-121.948194,36.62677,-121.94803,tchain,07/05/2022,yes,
X03s,36.626284,-121.946929,36.626181,-121.946879,spotter,wholedeployment,yes,Computed from Spotter GPS
X04s,36.62566,-121.945118,36.625446,-121.94532,spotter,wholedeployment,yes,Computed from Spotter GPS
X05at,36.625243,-121.943862,36.62526,-121.94395,ADCP,07/05/2022,yes,
X05at,9999999999,9999999999,36.62511,-121.94403,tchain,07/05/2022,yes,
X06a,36.624895,-121.942869,36.62482,-121.94301,ADCP,07/05/2022,yes,
X07p,36.624726,-121.942325,36.62467,-121.94226,SoloD,06/27/2022,yes,
X08p,36.624592,-121.941908,36.62464,-121.9419,SoloD,06/27/2022,yes,
X09p,36.62444,-121.941497,36.62463,-121.94157,SoloD,06/27/2022,yes,
X10p,36.624339,-121.941186,36.62447,-121.94106,SoloD,06/27/2022,yes,
X11a,36.624248,-121.940902,36.62442,-121.94097,ADCP,06/27/2022,yes,
X12p,36.624184,-121.940763,36.62433,-121.94086,SoloD,06/27/2022,yes,
X13a,36.624158,-121.940646,36.62428,-121.94079,ADCP,06/27/2022,yes,
X14p,36.624102,-121.94053,36.62423,-121.94074,SoloD,06/27/2022,yes,
A01a,36.603828,-121.964631,36.60380994,-121.9646408,ADCP,06/16/2022,yes,
A02p,36.603653,-121.963479,36.60371237,-121.9634708,SoloD,06/18/2022,yes,
A03a,36.603592,-121.963175,36.60359752,-121.9631893,ADCP,06/18/2022,yes,Average from the 2 (duplicated) shots for A03. The two shots are 2.5 meters apart (primarily along the easting/longitude axis).
A04p,36.603528,-121.962893,36.60353,-121.96275,SoloD,06/27/2022,yes,
A05p,36.603469,-121.962564,36.60355,-121.96217,SoloD,06/27/2022,yes,
A06p,36.603389,-121.962169,36.60357,-121.96194,SoloD,06/27/2022,yes,
A07p,36.603329,-121.961778,36.60349,-121.96175,SoloD,06/27/2022,yes,
A08p,36.603269,-121.961444,36.60333333,-121.9615167,SoloD,06/15/2022,no,Garmin/yellow handheld GPS at deployment
A09p,36.603201,-121.961135,36.60317206,-121.9611175,SoloD,06/22/2022,yes,
B01s,36.607178,-121.973949,36.606132,-121.973881,spotter,wholedeployment,yes,"First Spotter moved, had problems, and it was replaced. Only one location taken. Computed from Spotter GPS."
B02at,36.606217,-121.969486,36.60602,-121.96958,ADCP,07/05/2022,yes,
B02at,9999999999,9999999999,36.60606,-121.96919,tchain,07/05/2022,yes,
B03s,36.606,-121.968208,36.605874,-121.968096,spotter,wholedeployment,yes,Computed from Spotter GPS
B04apt,36.605811,-121.967181,36.60577,-121.96726,ADCP,07/05/2022,yes,
B04apt,9999999999,9999999999,36.60579,-121.96692,tchain,07/05/2022,yes,
